id,uploaded_documents,interview_preference,subscribed_to_reminders
422,1,,FALSE
311,3,,FALSE
0,1,,FALSE
387,1,,TRUE
389,0,,TRUE
423,3,Telephone,FALSE
424,1,Telephone,TRUE
393,5,Telephone,TRUE
394,1,Telephone,TRUE
7,2,Telephone,TRUE
425,0,Telephone,TRUE
395,5,Telephone,TRUE
396,3,Telephone,TRUE
397,4,Telephone,TRUE
398,5,Telephone,TRUE
399,0,Telephone,TRUE
400,2,Telephone,TRUE
401,1,In-person,TRUE
402,2,Telephone,TRUE
403,3,Telephone,TRUE
404,1,Telephone,TRUE
405,1,Telephone,TRUE
406,0,Telephone,TRUE
407,0,Telephone,TRUE
408,2,Telephone,TRUE
409,1,In-person,TRUE
410,4,Telephone,TRUE
411,0,Telephone,FALSE
412,3,Telephone,FALSE
413,2,Telephone,TRUE
414,1,Telephone,TRUE
415,0,Telephone,TRUE
416,0,Telephone,TRUE
417,2,Telephone,TRUE
418,0,In-person,TRUE
419,1,Telephone,TRUE
420,2,Telephone,TRUE
421,2,Telephone,TRUE
295,2,Telephone,TRUE
294,4,Telephone,FALSE
298,1,Telephone,TRUE
297,0,Telephone,TRUE
299,0,Telephone,TRUE
300,0,Telephone,TRUE
269,5,Telephone,TRUE
303,3,Telephone,FALSE
304,1,Telephone,FALSE
302,1,Telephone,TRUE
306,1,Telephone,TRUE
310,1,Telephone,TRUE
309,4,Telephone,TRUE
308,2,Telephone,TRUE
312,1,In-person,TRUE
315,0,Telephone,TRUE
273,1,Telephone,TRUE
318,3,Telephone,TRUE
317,2,Telephone,TRUE
319,4,Telephone,FALSE
320,2,Telephone,TRUE
321,5,Telephone,FALSE
322,3,Telephone,TRUE
325,0,Telephone,TRUE
278,1,Telephone,TRUE
277,2,Telephone,TRUE
330,1,Telephone,TRUE
329,3,Telephone,FALSE
331,0,Telephone,TRUE
332,2,Telephone,TRUE
283,5,Telephone,TRUE
336,2,Telephone,TRUE
335,6,Telephone,FALSE
337,2,Telephone,FALSE
338,1,Telephone,TRUE
339,1,Telephone,TRUE
285,2,Telephone,TRUE
284,0,Telephone,TRUE
341,0,Telephone,FALSE
342,1,Telephone,TRUE
340,0,Telephone,FALSE
343,8,Telephone,FALSE
344,1,Telephone,TRUE
345,1,Telephone,TRUE
267,1,Telephone,TRUE
268,3,Telephone,TRUE
275,0,Telephone,TRUE
279,1,In-person,TRUE
282,1,Telephone,TRUE
287,0,Telephone,TRUE
288,1,Telephone,TRUE
289,3,Telephone,FALSE
293,1,Telephone,TRUE
290,1,Telephone,TRUE
291,1,In-person,FALSE
296,0,Telephone,TRUE
292,0,Telephone,TRUE
366,0,Telephone,TRUE
367,3,Telephone,TRUE
368,1,Telephone,TRUE
369,0,Telephone,TRUE
370,2,Telephone,TRUE
371,1,Telephone,TRUE
305,2,Telephone,TRUE
372,1,Telephone,TRUE
307,2,Telephone,TRUE
373,1,Telephone,TRUE
375,0,Telephone,TRUE
374,1,Telephone,FALSE
314,2,Telephone,TRUE
313,1,Telephone,TRUE
376,1,Telephone,TRUE
377,1,Telephone,TRUE
327,2,Telephone,TRUE
378,0,Telephone,TRUE
379,2,Telephone,TRUE
382,10,Telephone,TRUE
380,3,Telephone,TRUE
381,2,Telephone,TRUE
383,1,Telephone,TRUE
384,3,Telephone,TRUE
385,1,Telephone,FALSE
333,1,In-person,TRUE
386,1,In-person,FALSE
388,1,Telephone,TRUE
493,5,In-person,TRUE
390,4,Telephone,TRUE
391,3,Telephone,TRUE
392,1,Telephone,TRUE
265,3,Telephone,TRUE
266,1,Telephone,TRUE
301,1,Telephone,TRUE
316,2,Telephone,TRUE
274,2,Telephone,TRUE
323,4,Telephone,TRUE
324,3,Telephone,TRUE
326,1,Telephone,TRUE
328,2,Telephone,TRUE
276,1,Telephone,TRUE
280,3,Telephone,TRUE
281,3,Telephone,TRUE
334,1,Telephone,FALSE
286,3,Telephone,TRUE
264,1,Telephone,TRUE
263,1,Telephone,TRUE
23,4,Telephone,TRUE
25,7,Telephone,FALSE
29,3,Telephone,TRUE
30,4,Telephone,TRUE
36,1,Telephone,TRUE
74,1,Telephone,TRUE
81,2,Telephone,TRUE
82,1,Telephone,TRUE
86,1,Telephone,TRUE
85,2,Telephone,TRUE
87,2,Telephone,TRUE
109,2,Telephone,TRUE
113,1,Telephone,TRUE
123,3,Telephone,TRUE
122,3,Telephone,TRUE
11,1,Telephone,TRUE
26,1,In-person,TRUE
49,4,Telephone,FALSE
54,1,Telephone,TRUE
73,1,Telephone,TRUE
94,2,Telephone,FALSE
103,2,Telephone,TRUE
108,1,Telephone,TRUE
120,2,Telephone,TRUE
132,1,Telephone,TRUE
138,3,Telephone,TRUE
142,1,In-person,TRUE
141,1,Telephone,TRUE
148,3,Telephone,TRUE
1,1,Telephone,TRUE
13,1,Telephone,TRUE
28,3,Telephone,TRUE
34,1,Telephone,TRUE
58,1,Telephone,TRUE
60,3,Telephone,TRUE
64,1,Telephone,TRUE
69,3,Telephone,TRUE
101,1,Telephone,TRUE
121,3,Telephone,TRUE
140,1,Telephone,TRUE
144,1,Telephone,TRUE
147,10,Telephone,TRUE
151,1,In-person,TRUE
154,1,Telephone,TRUE
162,1,Telephone,TRUE
169,0,Telephone,TRUE
32,0,Telephone,TRUE
43,0,Telephone,TRUE
48,0,Telephone,TRUE
56,3,Telephone,TRUE
66,0,Telephone,TRUE
80,1,In-person,TRUE
84,0,Telephone,TRUE
95,1,Telephone,TRUE
100,1,Telephone,TRUE
104,1,Telephone,TRUE
119,0,Telephone,TRUE
136,0,Telephone,TRUE
150,0,Telephone,TRUE
165,0,Telephone,TRUE
177,0,Telephone,TRUE
183,0,Telephone,TRUE
187,0,In-person,TRUE
188,0,In-person,TRUE
12,0,Telephone,TRUE
15,0,In-person,TRUE
31,0,Telephone,TRUE
35,0,Telephone,TRUE
33,0,Telephone,TRUE
37,1,Telephone,FALSE
41,3,Telephone,TRUE
53,0,Telephone,TRUE
55,0,Telephone,TRUE
65,0,Telephone,TRUE
89,0,Telephone,TRUE
92,0,Telephone,TRUE
96,2,Telephone,TRUE
98,2,Telephone,TRUE
97,0,Telephone,TRUE
115,0,Telephone,TRUE
118,0,Telephone,TRUE
128,0,Telephone,TRUE
158,0,Telephone,TRUE
173,2,Telephone,TRUE
172,1,Telephone,TRUE
176,0,Telephone,TRUE
180,0,Telephone,TRUE
198,0,Telephone,TRUE
207,1,In-person,TRUE
347,0,Telephone,TRUE
351,3,In-person,FALSE
4,0,Telephone,TRUE
40,0,Telephone,TRUE
50,2,Telephone,TRUE
51,0,Telephone,TRUE
70,0,Telephone,TRUE
57,0,Telephone,TRUE
59,0,Telephone,TRUE
67,0,Telephone,TRUE
72,2,Telephone,TRUE
75,3,Telephone,TRUE
77,0,In-person,TRUE
93,0,Telephone,TRUE
99,0,Telephone,TRUE
106,3,Telephone,TRUE
105,0,Telephone,TRUE
107,0,Telephone,TRUE
110,0,Telephone,TRUE
116,0,Telephone,TRUE
124,0,Telephone,TRUE
126,3,Telephone,TRUE
129,0,Telephone,TRUE
135,1,Telephone,TRUE
134,1,Telephone,TRUE
161,0,Telephone,TRUE
164,0,Telephone,TRUE
163,0,Telephone,TRUE
166,0,Telephone,TRUE
174,0,Telephone,TRUE
175,0,Telephone,TRUE
181,3,Telephone,TRUE
178,0,Telephone,TRUE
182,1,Telephone,FALSE
190,0,In-person,TRUE
194,0,Telephone,TRUE
196,0,Telephone,TRUE
197,0,Telephone,TRUE
201,0,Telephone,TRUE
203,0,Telephone,TRUE
205,2,Telephone,TRUE
206,0,Telephone,TRUE
209,0,Telephone,TRUE
212,0,In-person,TRUE
358,2,Telephone,TRUE
363,0,Telephone,TRUE
216,0,Telephone,TRUE
232,0,Telephone,TRUE
234,0,Telephone,TRUE
237,0,Telephone,TRUE
240,0,Telephone,TRUE
243,0,Telephone,TRUE
5,0,Telephone,TRUE
8,0,Telephone,TRUE
9,0,Telephone,TRUE
21,0,Telephone,TRUE
38,0,Telephone,TRUE
47,0,Telephone,TRUE
45,0,Telephone,TRUE
46,1,Telephone,TRUE
52,0,Telephone,TRUE
68,0,Telephone,TRUE
78,0,Telephone,TRUE
111,0,Telephone,TRUE
112,0,Telephone,TRUE
114,0,Telephone,TRUE
130,1,Telephone,TRUE
131,0,Telephone,TRUE
137,0,Telephone,TRUE
139,5,Telephone,TRUE
143,0,Telephone,TRUE
146,0,Telephone,TRUE
149,0,Telephone,TRUE
152,0,Telephone,TRUE
153,0,Telephone,TRUE
155,3,Telephone,TRUE
157,0,Telephone,TRUE
159,0,Telephone,TRUE
160,0,Telephone,TRUE
184,0,Telephone,TRUE
185,0,Telephone,TRUE
186,0,Telephone,TRUE
192,2,Telephone,TRUE
202,0,Telephone,TRUE
208,0,Telephone,TRUE
346,0,In-person,TRUE
214,2,Telephone,TRUE
353,3,Telephone,TRUE
355,0,Telephone,TRUE
215,0,Telephone,TRUE
219,0,Telephone,TRUE
223,2,Telephone,TRUE
226,0,Telephone,TRUE
225,0,Telephone,TRUE
