application_id,status
0,approved
1,denied
2,approved
3,denied
4,denied
5,approved
6,denied
7,denied
8,approved
9,approved
10,approved
11,denied
12,approved
13,approved
14,denied
15,denied
16,denied
17,denied
18,approved
19,approved
20,approved
21,denied
22,denied
23,approved
24,denied
25,approved
26,denied
27,approved
28,approved
29,denied
30,denied
31,approved
32,denied
33,denied
34,denied
35,approved
36,approved
37,approved
38,denied
39,denied
40,approved
41,approved
42,denied
43,denied
44,approved
45,denied
46,denied
47,approved
48,approved
49,approved
50,denied
51,approved
52,denied
53,approved
54,approved
55,denied
56,approved
57,approved
58,denied
59,denied
60,denied
61,denied
62,approved
63,approved
64,denied
65,approved
66,approved
67,denied
68,denied
69,approved
70,denied
71,denied
72,approved
73,denied
74,approved
75,denied
76,approved
77,denied
78,denied
79,denied
80,denied
81,denied
82,approved
83,approved
84,approved
85,denied
86,denied
87,denied
88,approved
89,approved
90,approved
91,denied
92,denied
93,approved
94,denied
95,approved
96,approved
97,denied
98,approved
99,approved
100,approved
101,approved
102,denied
103,approved
104,approved
105,denied
106,approved
107,approved
108,denied
109,denied
110,approved
111,denied
112,approved
113,denied
114,denied
115,denied
116,approved
117,denied
118,approved
119,denied
120,denied
121,denied
122,denied
123,approved
124,approved
125,denied
126,denied
127,approved
128,denied
129,denied
130,approved
131,approved
132,approved
133,approved
134,approved
135,approved
136,denied
137,approved
138,approved
139,approved
140,denied
141,approved
142,approved
143,denied
144,denied
145,denied
146,approved
147,approved
148,approved
149,denied
150,denied
151,denied
152,denied
153,denied
154,approved
155,approved
156,approved
157,denied
158,denied
159,denied
160,denied
161,approved
162,denied
163,denied
164,denied
165,approved
166,approved
167,denied
168,denied
169,approved
170,denied
171,approved
172,approved
173,approved
174,denied
175,denied
176,approved
177,denied
178,approved
179,approved
180,approved
181,approved
182,approved
183,denied
184,denied
185,denied
186,denied
187,approved
188,denied
189,denied
190,approved
191,denied
192,denied
193,denied
194,denied
195,approved
196,approved
197,denied
198,approved
199,denied
200,denied
201,denied
202,approved
203,denied
204,denied
205,approved
206,denied
207,denied
208,denied
209,approved
210,denied
211,denied
212,denied
213,approved
214,denied
215,approved
216,approved
217,denied
218,denied
219,denied
220,approved
221,denied
222,denied
223,approved
224,denied
225,denied
226,approved
227,denied
228,approved
229,denied
230,approved
231,denied
232,approved
233,approved
234,approved
235,denied
236,approved
237,denied
238,approved
239,approved
240,approved
241,approved
242,approved
243,approved
244,denied
245,denied
246,approved
247,denied
248,approved
249,denied
250,denied
251,approved
252,approved
253,approved
254,approved
255,denied
256,denied
257,approved
258,approved
259,denied
260,approved
261,approved
262,denied
263,denied
264,approved
265,approved
266,denied
267,denied
268,denied
269,approved
270,denied
271,denied
272,denied
273,approved
274,approved
275,denied
276,approved
277,approved
278,denied
279,approved
280,denied
281,approved
282,approved
283,approved
284,approved
285,denied
286,denied
287,denied
288,denied
289,denied
290,approved
291,denied
292,denied
293,approved
294,approved
295,denied
296,denied
297,approved
298,denied
299,approved
300,denied
301,approved
302,approved
303,denied
304,denied
305,approved
306,denied
307,approved
308,approved
309,approved
310,approved
311,approved
312,approved
313,approved
314,denied
315,denied
316,denied
317,denied
318,approved
319,denied
320,approved
321,approved
322,denied
323,approved
324,approved
325,approved
326,approved
327,denied
328,approved
329,approved
330,approved
331,approved
332,denied
333,approved
334,denied
335,approved
336,approved
337,denied
338,denied
339,denied
340,approved
341,approved
342,approved
343,approved
344,denied
345,approved
346,denied
347,denied
348,denied
349,denied
350,approved
351,approved
352,approved
353,denied
354,approved
355,denied
356,denied
357,approved
358,approved
359,denied
360,approved
361,denied
362,denied
363,approved
364,denied
365,denied
366,denied
367,denied
368,denied
369,denied
370,denied
371,approved
372,approved
373,approved
374,denied
375,approved
376,approved
377,approved
378,denied
379,approved
380,denied
381,approved
382,denied
383,approved
384,approved
385,denied
386,approved
387,denied
388,denied
389,approved
390,denied
391,denied
392,denied
393,denied
394,denied
395,denied
396,denied
397,approved
398,denied
399,approved
400,denied
401,denied
402,approved
403,approved
404,denied
405,approved
406,denied
407,approved
408,denied
409,approved
410,denied
411,denied
412,approved
413,approved
414,approved
415,denied
416,approved
417,approved
418,approved
419,approved
420,approved
421,approved
422,denied
423,denied
424,approved
425,denied
426,approved
427,denied
428,denied
429,denied
430,denied
431,approved
432,approved
433,approved
434,denied
435,approved
436,approved
437,approved
438,approved
439,denied
440,denied
441,approved
442,denied
443,denied
444,approved
445,approved
446,denied
447,approved
448,denied
449,approved
450,denied
451,approved
452,approved
453,denied
454,approved
455,approved
456,denied
457,approved
458,approved
459,denied
460,approved
461,denied
462,denied
463,denied
464,approved
465,denied
466,denied
467,approved
468,denied
469,approved
470,approved
471,approved
472,approved
473,denied
474,approved
475,denied
476,approved
477,denied
478,denied
479,denied
480,denied
481,denied
482,denied
483,denied
484,denied
485,denied
486,approved
487,approved
488,denied
489,denied
490,approved
491,approved
492,approved
493,approved
494,denied
495,denied
496,denied
497,approved
498,denied
499,approved
500,approved
501,approved
502,approved
503,denied
504,approved
505,denied
506,approved
507,denied
508,approved
509,denied
510,approved
511,denied
512,approved
513,approved
514,denied
515,denied
516,approved
517,approved
518,approved
519,approved
520,denied
521,denied
522,denied
523,approved
524,denied
525,approved
526,denied
527,denied
528,approved
529,approved
530,approved
531,denied
532,denied
533,denied
534,denied
535,denied
536,denied
537,denied
538,denied
539,approved
540,approved
541,approved
542,denied
543,denied
544,denied
545,approved
546,approved
547,approved
548,denied
549,approved
550,approved
551,approved
552,denied
553,denied
554,denied
555,denied
556,approved
557,denied
558,approved
559,denied
560,approved
561,denied
562,denied
563,denied
564,denied
565,denied
566,approved
567,approved
568,approved
569,denied
570,denied
571,denied
572,approved
573,denied
574,denied
575,denied
576,denied
577,denied
578,approved
579,approved
580,approved
581,denied
582,approved
583,denied
584,denied
585,approved
586,denied
587,approved
588,denied
589,denied
590,approved
591,approved
592,denied
593,approved
594,denied
595,denied
596,denied
597,denied
598,denied
